Series Name,Series Code,Country Name,Country Code,2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022]
GDP (current US$),NY.GDP.MKTP.CD,Brazil,BRA,2472819362259,2456043766063.5,1802211999555.59,1795693265824.27,2063514688761.67,1916933708404.16,1873288159000.64,1476107292036.59,1649622972159.35,1920095560995.06
GDP (current US$),NY.GDP.MKTP.CD,British Virgin Islands,VGB,,,,,,,,,,
GDP (current US$),NY.GDP.MKTP.CD,Brunei Darussalam,BRN,18094326392.7086,17097801091.9771,12930292949.4216,11400467372.4943,12128182463.596,13567164444.9707,13469240162.5496,12005795914.7306,14006497000.2477,16681531645.7347
GDP (current US$),NY.GDP.MKTP.CD,Bulgaria,BGR,55844245263.8012,57159557804.6461,50828088835.9428,53987487124.3421,59343060705.828,66399602077.1693,68911930627.8977,70404359049.232,84061395658.221,89040398406.3745
GDP (current US$),NY.GDP.MKTP.CD,Burkina Faso,BFA,13444300489.8634,13943016080.2646,11832159315.9778,12833363043.9719,14106955625.3571,15890066209.8959,16178161666.1334,17933606212.6294,19737616003.022,18884619613.4388
GDP (current US$),NY.GDP.MKTP.CD,Burundi,BDI,2451606631.76696,2705783330.38796,3104003545.60675,2644487777.23693,2723586962.18686,2667182198.97925,2576518879.39881,2649680261.01097,2775798697.16485,3073414677.84385
GDP (current US$),NY.GDP.MKTP.CD,Cabo Verde,CPV,2028910915.16446,2041930125.42979,1749857628.40716,1849789992.74328,1996741544.61549,2205099509.15921,2266752197.42617,1878277311.2253,2091741774.10772,2314816792.06291
GDP (current US$),NY.GDP.MKTP.CD,Cambodia,KHM,15227991395.2201,16702610842.4025,18049954289.4229,20016747858.3122,22177200588.6749,24571753581.7841,27089390032.8915,25872797892.0285,26961061152.2979,29956769529.428
GDP (current US$),NY.GDP.MKTP.CD,Cameroon,CMR,33728621190.2114,36386544716.0794,32210233021.5735,33814337040.7804,36098547058.7877,39973842058.565,39670976440.3158,40773241211.6941,45338285386.1044,44341646509.2193
GDP (current US$),NY.GDP.MKTP.CD,Canada,CAN,1846597421834.98,1805749878439.94,1556508816217.14,1527994741907.43,1649265644244.09,1725297938435.76,1743725183672.52,1647598402302.68,2001486745423.92,2139840023673.81
GDP (current US$),NY.GDP.MKTP.CD,Cayman Islands,CYM,4405796081.15984,4562853582.32463,4708167255.28727,4909322200.00212,5166281293.18715,5530178498.90783,5941896599.57333,5647224973.03878,6028373541.47434,
GDP (current US$),NY.GDP.MKTP.CD,Central African Rep.,CAF,1691544110.6915,1894813389.88175,1695825714.2427,1825018144.46187,2072349974.15272,2220979144.52008,2221301350.75537,2326720902.35741,2516498412.31361,2382618615.3562
GDP (current US$),NY.GDP.MKTP.CD,Chad,TCD,12953534870.304,13940767222.1053,10950392257.2764,10097778097.0969,10000394388.1158,11239167890.2816,11314951088.2451,10715396051.4388,11779981332.1599,12704149842.0373
GDP (current US$),NY.GDP.MKTP.CD,Channel Islands,CHI,,,,9511207129.35458,9530244530.24453,10422948632.4216,10381669645.1366,9811538461.53846,11735662219.7772,
GDP (current US$),NY.GDP.MKTP.CD,Chile,CHL,277239473853.807,259405194672.935,242496655711.515,249298706449.182,276364936832.331,295402646018.151,278493308134.096,254096103516.324,316713577508.673,301025249437.947
GDP (current US$),NY.GDP.MKTP.CD,China,CHN,9570470577244.86,10475624783235.6,11061573199439.7,11233314018690.1,12310491176727.3,13894907485398.9,14279968485748,14687743556969.6,17820459342451.2,17963170521079.8
GDP (current US$),NY.GDP.MKTP.CD,Colombia,COL,382093697077.685,381240864422.407,293492370228.847,282720100286.228,311866875135.576,334198218100.716,323031701210.767,270150956772.567,318511813576.972,343939445259.487
GDP (current US$),NY.GDP.MKTP.CD,Comoros,COM,1116224107.17123,1149587659.74505,966029599.801322,1012835492.51585,1077439756.12224,1188797449.96036,1195019531.03671,1225039195.93744,1296089479.45824,1242519407.27821
GDP (current US$),NY.GDP.MKTP.CD,"Congo, Dem. Rep.",COD,32679745036.2659,35909040943.885,37917706485.5896,37134801548.836,38019264804.5125,47568210020.9338,51775829868.7669,48716961864.5378,55350968593.0597,58065953573.3247
GDP (current US$),NY.GDP.MKTP.CD,"Congo, Rep.",COG,17958720704.4596,17912907682.0663,11890259176.6829,10219341017.1383,11094823676.5914,13670038019.8594,12750338736.1661,10483151093.6873,13366230821.3293,14615532210.0523
GDP (current US$),NY.GDP.MKTP.CD,Costa Rica,CRI,50949668885.9875,52016408923.9289,56441920823.7632,58847019584.9144,60516044623.4876,62420164964.6987,64417670555.7821,62395610764.0705,64616482167.7475,68380838316.2777
GDP (current US$),NY.GDP.MKTP.CD,Cote d'Ivoire,CIV,42760235496.3898,48843005625.0307,45815005170.6127,48407761031.6758,52512344033.9625,58522477744.7313,59898479821.1946,62982768371.5174,71811075954.676,70018715016.6967
GDP (current US$),NY.GDP.MKTP.CD,Croatia,HRV,59363124068.5843,59214461630.3993,50742086222.907,52391038979.0338,55937483557.9256,61330483609.8835,61329267533.1316,57624938982.3606,68843674641.2112,70964606464.6427
GDP (current US$),NY.GDP.MKTP.CD,Cuba,CUB,77148000000,80656000000,87133000000,91370000000,96851000000,100050000000,103428000000,107352000000,,
GDP (current US$),NY.GDP.MKTP.CD,Curacao,CUW,3039944134.07821,3048435754.18994,3042737430.1676,3014748603.35196,3009497206.70391,3020388826.81564,2995185474.86034,2496174748.60335,2699612458.10056,
GDP (current US$),NY.GDP.MKTP.CD,Cyprus,CYP,23959708956.2928,23225912183.4988,19909269064.8473,21046452117.3765,22946583375.5508,25597301190.678,25945194240.4544,25008266159.2479,28408064462.1856,28439052740.8561
GDP (current US$),NY.GDP.MKTP.CD,Czechia,CZE,211685616592.931,209358834156.329,188033050459.881,196272068576.338,218628940951.675,249000540729.179,252548179964.897,245974558654.043,281791218507.1,290923534700.518
GDP (current US$),NY.GDP.MKTP.CD,Denmark,DNK,343584391647.927,352993631617.708,302673070846.857,313115929314.339,332121063806.391,356841216410.068,346498737961.635,355222449505.211,398303272764.46,395403906582.001
GDP (current US$),NY.GDP.MKTP.CD,Djibouti,DJI,2042817162.85639,2214679081.25658,2424391785.43897,2604955228.70117,2762581334.22612,2913466732.12507,3088853638.56832,3181071153.6622,3372287461.80812,3515109075.46098
GDP (current US$),NY.GDP.MKTP.CD,Dominica,DMA,498296296.296296,520207407.407407,540737037.037037,576229629.62963,521551851.851852,554770370.37037,611537037.037037,504214814.814815,555266666.666667,612048148.148148
GDP (current US$),NY.GDP.MKTP.CD,Dominican Republic,DOM,62682158700.2885,67179956264.9383,71164826719.5026,75704647977.2591,79998045975.5137,85555390385.9812,88941371980.2651,78844655833.2194,94243426487.0833,113641857434.002
GDP (current US$),NY.GDP.MKTP.CD,Ecuador,ECU,95129659000,101726331000,99290381000,99937696000,104295862000,107562008000,108108009000,99291124000,106165866000,115049476000
GDP (current US$),NY.GDP.MKTP.CD,"Egypt",EGY,288434108527.132,305595408895.265,329366576819.407,332441717791.411,248362771739.13,262588632526.73,318678815489.749,383817841547.099,424671765455.704,476747720364.742
GDP (current US$),NY.GDP.MKTP.CD,El Salvador,SLV,21990960000,22593470000,23438240000,24191430000,24979190000,26020850000,26881140000,24930080000,29451240000,32488720000
GDP (current US$),NY.GDP.MKTP.CD,Equatorial Guinea,GNQ,21948834290.3521,21765453087.479,13185496881.4052,11240808846.6924,12200913887.6428,13097012124.2261,11364133546.2494,10099157995.5789,12269393392.1579,11813908447.8131
GDP (current US$),NY.GDP.MKTP.CD,Eritrea,ERI,,,,,,,,,,
GDP (current US$),NY.GDP.MKTP.CD,Estonia,EST,25115753366.1116,26634083965.0983,22890762090.1508,24072829276.775,26924385103.0662,30624720196.2285,31081901909.2151,31370395572.7653,37191166151.98,38100812958.5196
GDP (current US$),NY.GDP.MKTP.CD,Eswatini,SWZ,4597552948.64649,4422986447.48958,4063245671.29285,3816019222.86268,4402969225.92165,4666598023.91856,4466214522.19539,3982236726.3678,4748702400.66283,4854167638.37388
GDP (current US$),NY.GDP.MKTP.CD,Ethiopia,ETH,47648276190.2977,55612228233.5179,64589329344.6937,74296745599.0048,81770886908.5198,84269196152.0333,95912607970.1686,107657734392.446,111261882913.342,126783472501.134
GDP (current US$),NY.GDP.MKTP.CD,Faroe Islands,FRO,2690110671.24132,2914012852.34062,2573906035.59584,2813278761.27524,2980057167.73595,3188601035.1907,3275684065.13139,3248670978.10165,3649878680.22811,
GDP (current US$),NY.GDP.MKTP.CD,Fiji,FJI,4189968869.81721,4857103846.72985,4682480303.97469,4930213787.50451,5353468387.56019,5581425890.96651,5481692621.61125,4477030179.83128,4296235427.52339,4943248200.0441
GDP (current US$),NY.GDP.MKTP.CD,Finland,FIN,271362405890.591,274862826772.152,234534382384.766,240771351298.84,255647979916.473,275708001767.838,268514916972.544,271886077382.097,296387625263.561,280825957768.484
GDP (current US$),NY.GDP.MKTP.CD,France,FRA,2811876903329.05,2855964488590.14,2439188643162.5,2472964344587.23,2595151045197.67,2790956878746.61,2728870246705.83,2639008701648.21,2957879759263.52,2782905325624.52
GDP (current US$),NY.GDP.MKTP.CD,French Polynesia,PYF,6031827089.12531,6151996534.96077,5325846341.7909,5497036486.74487,5833352684.45264,6135116260.64814,6022276207.18983,5731835679.23061,6080359305.28965,
GDP (current US$),NY.GDP.MKTP.CD,Gabon,GAB,17595744803.6041,18203966900.4404,14383107763.1182,14023890263.875,14929487495.759,16867326389.8696,16874405460.1964,15314577167.8199,20217946921.2063,21071739227.9428
GDP (current US$),NY.GDP.MKTP.CD,"Gambia, The",GMB,1375609459.78172,1229461731.70458,1378176605.93705,1484578897.15783,1504909447.77459,1670671340.37966,1813609679.15313,1812170878.30632,2038414973.57173,2273060863.13981
GDP (current US$),NY.GDP.MKTP.CD,Georgia,GEO,17190068235.7892,17627336228.0536,14953675992.6704,15141598622.5692,16242647229.7398,17596922469.9152,17470436258.5131,15842922532.7202,18629365612.096,24605375420.0672
GDP (current US$),NY.GDP.MKTP.CD,Germany,DEU,3733804649549.06,3889093051023.45,3357585719351.56,3469853463945.63,3690849152517.69,3974443355019.53,3888226035921.49,3889668895299.56,4259934911821.64,4072191736089.51
GDP (current US$),NY.GDP.MKTP.CD,Ghana,GHA,62824629066.0408,54783320576.8882,49406014245.4296,56164933479.4044,60405920071.1024,67298913752.0241,68337974418.7681,70043095503.2503,79156409409.8581,72838798787.7066
GDP (current US$),NY.GDP.MKTP.CD,Gibraltar,GIB,,,,,,,,,,
GDP (current US$),NY.GDP.MKTP.CD,Greece,GRC,238907690051.132,235458133124.604,195683527003.375,193148146586.938,199844406013.533,212049447242.107,205257014892.498,188925995936.803,214873879833.648,219065872466.25
GDP (current US$),NY.GDP.MKTP.CD,Greenland,GRL,2684947140.1518,2842065877.15443,2499113085.48255,2707146783.13056,2851610655.92391,3055791340.7025,2997331094.25136,3082909157.60994,3235816195.06609,
GDP (current US$),NY.GDP.MKTP.CD,Grenada,GRD,842618518.518518,911496296.296296,997007407.407407,1061640740.74074,1125685185.18519,1166514814.81481,1213485185.18519,1043411111.11111,1122800000,1256413185.18519
GDP (current US$),NY.GDP.MKTP.CD,Guam,GUM,5399000000,5610000000,5799000000,5901000000,6013000000,6056000000,6366000000,5886000000,6123000000,
GDP (current US$),NY.GDP.MKTP.CD,Guatemala,GTM,52996447955.7632,57852150564.52,62186064718.7424,66053402744.7267,71653756504.1625,73328369925.8478,77172313916.4218,77715183063.2054,86053079767.3507,95003333381.1936
GDP (current US$),NY.GDP.MKTP.CD,Guinea,GIN,8376613880.25749,8778473643.01989,8794202394.72245,8595955600.7877,10324668270.876,11857030366.4598,13442861496.5747,14177835840.8311,16091817842.2348,21227749388.7287
GDP (current US$),NY.GDP.MKTP.CD,Guinea-Bissau,GNB,1046087367.44973,1054915581.36774,1048229632.99726,1179004911.26075,1350177012.24771,1504630233.68639,1439638410.99593,1431758231.68287,1638517606.88578,1633559092.06611
GDP (current US$),NY.GDP.MKTP.CD,Guyana,GUY,4167800935.59943,4127660158.47323,4279840193.7046,4482697336.56174,4748174334.14044,4787637005.53638,5173760191.84652,5471256594.72422,8044498800.95923,15357537068.3434
GDP (current US$),NY.GDP.MKTP.CD,Haiti,HTI,14902488489.0545,15146883647.3766,14849629407.9546,14069277532.4999,15093357143.42,16403864521.4121,15016090929.8744,14508222518.158,20877414952.1236,20253551885.2146
GDP (current US$),NY.GDP.MKTP.CD,Honduras,HND,18499729063.4192,19756533658.0822,20979791685.416,21717604580.8627,23136248046.2979,24067750465.9361,25089937108.6681,23827859694.7921,28488721296.2012,31717700115.2546
GDP (current US$),NY.GDP.MKTP.CD,"Hong Kong SAR, China",HKG,275696879834.966,291459983449.58,309385622601.348,320860317562.562,341273289534.466,361731070995.726,363074560517.276,344943149590.058,368911387845.418,359838598806.091
GDP (current US$),NY.GDP.MKTP.CD,Hungary,HUN,135684315697.713,141033843265.669,125174166987.372,128609822750.039,143112196040.326,160565642983.587,164020460331.659,157227094449.074,182275444031.79,178788572067.589
GDP (current US$),NY.GDP.MKTP.CD,Iceland,ISL,16125060515.3117,17867662177.8911,17517210519.0912,20793168030.9524,24728285177.4603,26260850582.0687,24663643101.958,21553080483.8132,25552639899.067,27841648044.3753
GDP (current US$),NY.GDP.MKTP.CD,India,IND,1856721494834.64,2039126469963.35,2103588347241.77,2294796889945.04,2651474263257.15,2702929639861.5,2835606242052.48,2671595389575.7,3150306834279.65,3385089881935.39
GDP (current US$),NY.GDP.MKTP.CD,Indonesia,IDN,912524136718.018,890814755511.291,860854232717.853,931877364033.902,1015618744168.15,1042271532953.36,1119099871386.16,1059054842711.72,1186505455720.81,1319100220389.02
GDP (current US$),NY.GDP.MKTP.CD,"Iran",IRN,492775566435.176,460382791488.626,408212917871.725,457954614595.24,486630147094.69,327900695065.853,283649531542.631,239735486745.704,359096907772.985,388544468139.733
GDP (current US$),NY.GDP.MKTP.CD,Iraq,IRQ,234637675128.645,228415656174.957,166774104911.48,166602488747.885,187217660050.676,227367469034.031,233636097800.338,180924091442.953,207691599310.345,264182173793.103
GDP (current US$),NY.GDP.MKTP.CD,Ireland,IRL,238340859896.939,259170903647.532,291775166506.891,299091127524.513,336377500160.549,385736680797.111,399321701632.424,425852281928.114,504182603275.542,529244870222.765
GDP (current US$),NY.GDP.MKTP.CD,Isle of Man,IMN,7001180245.79298,7708459145.00473,7084795708.26863,6846373276.62067,6979791187.09008,7491654051.08011,7314966839.10981,6684229268.52985,,
GDP (current US$),NY.GDP.MKTP.CD,Israel,ISR,297732778479.129,314330061977.263,303414276832.04,322102790386.835,358245427458.541,376691526553.276,402470513619.148,413267669231.522,488526545878.891,522033446211.625
GDP (current US$),NY.GDP.MKTP.CD,Italy,ITA,2141924094298.57,2162009615996.51,1836637711060.55,1877071687633.83,1961796197354.37,2091932426266.94,2011302198827.41,1897210466667.52,2114355756913.92,2010431598465.38
GDP (current US$),NY.GDP.MKTP.CD,Jamaica,JAM,14264205123.6886,13899225339.6917,14188938780.5039,14077105502.9175,14808984880.5796,15730791525.65,15830766372.2651,13812421859.4026,14657586359.3802,17097760745.2096
GDP (current US$),NY.GDP.MKTP.CD,Japan,JPN,5212328181166.18,4896994405353.29,4444930651964.18,5003677627544.24,4930837369151.42,5040880939324.86,5117993853016.51,5048789595589.43,5005536736792.29,4231141201863.17
GDP (current US$),NY.GDP.MKTP.CD,Jordan,JOR,34454440140.8451,36847643521.1268,38587017887.3239,39892551126.7606,41608435915.493,43370860704.2254,44503005774.6479,43579916197.1831,45116317042.2535,47451499859.1549
GDP (current US$),NY.GDP.MKTP.CD,Kazakhstan,KAZ,236634603927.583,221415614007.347,184388404428.843,137278320084.171,166805788966.78,179339977517.062,181667185041.48,171082365723.326,197112255360.612,220623001966.686
GDP (current US$),NY.GDP.MKTP.CD,Kenya,KEN,61671440480.6895,68285796662.6532,70120446663.6256,74815143796.3978,82036511258.8324,92202979940.671,100378435824.178,100657505600.655,109703659312.872,113420008178.793
GDP (current US$),NY.GDP.MKTP.CD,Kiribati,KIR,184543103.721124,177868153.090733,170292283.246013,178507958.050329,188540699.145686,196501504.185186,175181684.792212,177553260.108828,227610034.764306,223352943.188404
GDP (current US$),NY.GDP.MKTP.CD,"Korea, Dem. People's Rep.",PRK,,,,,,,,,,
GDP (current US$),NY.GDP.MKTP.CD,"Korea, Rep.",KOR,1370795199976.18,1484318219633.63,1465773245547.15,1500111596236.37,1623901496835.79,1724845615629.26,1651422932447.77,1644312785467.12,1810955871380.98,1665245538594.96
GDP (current US$),NY.GDP.MKTP.CD,Kosovo,XKX,6735327512.05178,7074392884.04507,6295845465.35898,6682674062.9615,7180768692.26354,7878762812.20156,7899741278.93571,7717143395.25699,9412034299.23122,9429156201.95851
GDP (current US$),NY.GDP.MKTP.CD,Kuwait,KWT,174167626656.763,162650191195.358,114585567439.674,109406169162.833,120687635952.46,138202309918.726,136191752590.897,105948765156.029,136797422273.868,184558274288.737
GDP (current US$),NY.GDP.MKTP.CD,Kyrgyz Republic,KGZ,7335033799.26212,7468102369.13654,6678177483.42949,6813095396.14317,7702938395.18458,8271106196.04253,8871019822.76098,7780873258.66887,8740681889.20633,10930644915.2401
GDP (current US$),NY.GDP.MKTP.CD,Lao PDR,LAO,11983252626.8313,13279248478.8161,14426381187.0894,15912495368.8717,17071162084.4067,18141651381.3884,18740559554.1632,18981800705.0794,18827148530.0151,15724383783.2385
GDP (current US$),NY.GDP.MKTP.CD,Latvia,LVA,30204783461.8488,31386896487.0402,27263090547.0617,28083597512.4849,30483806017.8321,34429023435.0205,34343961072.8229,34601740323.338,39725383601.2125,41153912662.862
GDP (current US$),NY.GDP.MKTP.CD,Lebanon,LBN,46880103080.6634,48095213746.4677,49929337837.0813,51147308773.9304,53027680685.8375,54901519155.6219,51605959131.3654,31712128253.7961,23131941556.7843,
GDP (current US$),NY.GDP.MKTP.CD,Lesotho,LSO,2367113170.00373,2441063169.47922,2359754087.58169,2114426468.65681,2306741598.79677,2556247155.56945,2436029587.61009,2117736527.79886,2373416268.51107,2553459762.7992
GDP (current US$),NY.GDP.MKTP.CD,Liberia,LBR,3177198100,3225652000,3227075700,3398419600,3390703400,3422754800,3319596500,3039982500,3509000000,4001047150
GDP (current US$),NY.GDP.MKTP.CD,Libya,LBY,75351117628.308,57372352562.4888,48717506272.6981,49912085228.3487,67157451660.2727,76686048499.3527,69254143968.3398,46808208747.2754,39798423941.0335,45752336035.9846
GDP (current US$),NY.GDP.MKTP.CD,Liechtenstein,LIE,6391711429.23146,6657526636.11731,6268513139.70288,6237299538.02934,6474310909.50636,6692618410.5125,6436467007.11932,6405765970.4778,7186428783.11896,
GDP (current US$),NY.GDP.MKTP.CD,Lithuania,LTU,46523420074.4372,48533659592.1728,41435533340.3883,43047309305.7375,47758736931.7805,53751411409.4437,54760617012.9166,56914826860.6918,66414994991.7935,70334299008.3797
GDP (current US$),NY.GDP.MKTP.CD,Luxembourg,LUX,65203276466.9768,68804811897.6434,60071584216.1375,62216885435.9505,65712180342.9842,71000359760.4599,69825641851.0104,73992591285.3017,85506243833.7816,82274812250.9186
GDP (current US$),NY.GDP.MKTP.CD,"Macao SAR, China",MAC,51536592939.0332,54902831793.5018,45048188247.6458,45070807279.6288,50440935654.0075,55284309690.2698,55204960999.5882,25459685019.548,30123795336.8931,21979475560.6214
GDP (current US$),NY.GDP.MKTP.CD,Madagascar,MDG,12423555457.0352,12522957401.0395,11323020699.9128,11848613859.5279,13176313593.5509,13760033282.6071,14104664677.9627,13051441203.4474,14554754115.2112,14954967604.4073
GDP (current US$),NY.GDP.MKTP.CD,Malawi,MWI,8031571927.62055,8801326169.14547,9219474373.16418,7909868618.46366,8943543677.18899,9880675785.93057,11025371147.1876,12056108780.2073,12602334123.7637,13164667626.9363
GDP (current US$),NY.GDP.MKTP.CD,Malaysia,MYS,323276281683.441,338066121289.413,301354783698.72,301255332137.075,319109103242.055,358788833524.945,365177744321.011,337339463179.961,372981073017.749,406305924656.071
GDP (current US$),NY.GDP.MKTP.CD,Maldives,MDV,3295009231.00739,3697353155.04883,4109416450.22514,4379134272.943,4754185598.8417,5300949822.99805,5609385433.592,3746329358.28788,5405557161.73799,6189865408.23158
GDP (current US$),NY.GDP.MKTP.CD,Mali,MLI,13242690790.0557,14364937127.7002,13104764378.7114,14026048334.2131,15365713059.1057,17070867577.6666,17280250805.2245,17465392779.0366,19309463505.9833,18827176532.3169
GDP (current US$),NY.GDP.MKTP.CD,Malta,MLT,10550968138.9413,11625843213.6076,11091467513.7109,11667976402.763,13489296992.0001,15298004130.4975,15881258056.2009,15046136935.4814,17743376199.3523,17765270014.7571
GDP (current US$),NY.GDP.MKTP.CD,Marshall Islands,MHL,185468000,185172900,182997300,200716000,212701200,219330300,232092300,241722400,259538700,279667900
GDP (current US$),NY.GDP.MKTP.CD,Mauritania,MRT,7223071177.15856,6592537781.81518,6166863960.00061,6398741855.76276,6800138755.34592,7473550557.07378,8066118984.30581,8405498735.74293,9996240418.70784,10375460680.4361
GDP (current US$),NY.GDP.MKTP.CD,Mauritius,MUS,12292974007.9361,13074130094.3723,12007291045.6489,12594155346.298,13713505998.0391,14735695930.9727,14436347115.2893,11401040995.9946,11476433603.7814,12898307089.1315
GDP (current US$),NY.GDP.MKTP.CD,Mexico,MEX,1274443916251.64,1315356131262.48,1171870072962.76,1078493059306.95,1158912015259.01,1222405556421.13,1269009571610.76,1090514966785.91,1272838810896.09,1414187193992.25
GDP (current US$),NY.GDP.MKTP.CD,"Micronesia, Fed. Sts.",FSM,317214400,319271200,316489900,332265200,366666800,401932300,412000000,408000000,404028900,427094119.111317
GDP (current US$),NY.GDP.MKTP.CD,Moldova,MDA,9496717700.89855,9399833207.49341,7798692878.40136,7982450758.03213,9519053158.46404,11253727815.4762,11735774634.4239,11531967881.0624,13692230147.0588,14420947883.5979
GDP (current US$),NY.GDP.MKTP.CD,Monaco,MCO,6555590641.56865,7069351223.5686,6261646949.53125,6472837332.95721,6431274937.64707,7194256778.2745,7383941919.21567,6739642360.46694,8596156573.64327,
